created_at,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,average_tweets_per_day,popularity,favourites_rate,follower_rate,friend_rate,bot_or_not
21,1,0,74,0,0,0,172,0,0.119,0.0,0.05,0.0,0.0,0
17,0,0,12886,2320,893,0,7666,0,7.253,52.665,2.58,1.162,0.612,0
20,1,0,325,2220491,226,0,3885,1,0.928,79.276,0.075,6.276,0.053,0
23,0,0,14271,179,177,0,2073,0,0.483,26.909,1.464,0.041,0.04,0
7,0,0,189,1234253,383,1,44913,1,11.904,83.464,0.049,5.793,0.097,0
23,0,0,28,255941,236,1,6692,0,1.686,68.092,0.007,4.182,0.058,0
1,0,0,43727,9987,176,0,54678,0,26.79,47.668,3.11,1.774,0.083,0
18,0,0,209,5723114,16439,0,47004,1,11.666,151.049,0.051,7.259,1.625,0
22,1,0,1553,19,0,0,2278,0,0.644,0.0,0.364,0.005,0.0,1
19,0,0,60790,371297,1142,1,43611,1,10.307,90.304,2.732,4.486,0.239,0
23,1,0,0,12,0,0,6,0,0.004,0.0,0.0,0.008,0.0,1
0,1,0,29195,686,261,1,21497,0,10.907,36.374,2.761,0.299,0.124,0
1,1,0,46221,3100,1987,1,37434,0,15.611,61.059,3.009,0.83,0.604,0
16,1,0,644,389,699,1,51586,0,13.731,39.085,0.158,0.099,0.171,0
19,0,0,573,812,395,1,28681,0,7.465,40.08,0.139,0.192,0.098,0
14,0,0,109,8,0,0,93,0,0.026,0.0,0.03,0.002,0.0,1
23,1,0,28133,332,267,1,35111,0,15.522,32.473,2.598,0.137,0.112,0
18,0,0,2691,16,15,0,3431,0,1.059,7.855,0.605,0.005,0.005,1
8,1,0,1133,0,2,0,1701,0,0.507,0.0,0.291,0.0,0.001,1
15,1,0,18,1379391,467,0,4205,1,1.227,86.922,0.005,6.0,0.128,0
13,0,0,3157,1894796,377,1,14505,0,3.3,85.787,0.541,6.069,0.082,0
5,1,0,104811,3980,3195,1,65655,0,31.116,66.892,3.925,1.06,0.922,0
15,1,0,116,2,0,0,577,0,0.498,0.0,0.095,0.002,0.0,1
17,0,0,0,17,2,0,8963,0,7.72,3.175,0.0,0.015,0.002,1
1,1,0,5645,225,900,0,1222,0,0.38,36.879,1.014,0.068,0.247,0
5,0,0,57970,14494,3588,1,94627,1,22.161,78.431,2.679,1.48,0.61,0
21,0,0,14883,208107,14512,0,108632,0,27.003,117.349,1.547,3.965,1.528,0
23,0,0,1500,123593,1270,1,32644,1,7.97,83.803,0.312,3.44,0.27,0
13,1,0,340,13,58,1,556,0,0.133,10.761,0.078,0.003,0.014,0
4,0,0,8647,304,1339,1,6967,0,1.66,41.189,1.118,0.07,0.277,0
18,0,0,12685,184,216,1,25121,0,8.207,28.085,1.638,0.058,0.068,0
7,0,0,1225,18,79,0,1182,0,0.369,12.903,0.324,0.006,0.024,1
17,0,0,758,948014,828,0,4291,1,1.089,92.485,0.176,5.487,0.191,0
0,1,0,1216,93528,79301,0,186929,0,72.229,129.123,0.385,3.615,3.454,1
